data_type,framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
DOUBLE,c,AllHints,1,26,5,130,111,0.8538461538461538,1.5550426535896096,1.1269240532619482,0.7002054876525081,2.4160140770189846,111,1.3652915020718297,36.52915020718297,polly,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,2,26,10,260,247,0.95,1.8011864118569376,1.3103105466444087,0.8550697791557129,2.771040448165212,247,1.8529053723538196,85.29053723538196,polly,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,3,26,10,260,250,0.9615384615384616,2.0079201070059107,1.357311989510602,1.006732934574496,2.888760473851488,250,2.051442562662806,105.14425626628059,polly,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,4,26,5,130,125,0.9615384615384616,2.1289388326867926,1.420264427595714,1.01400119975708,3.2199677938808366,125,2.1666191950070695,116.66191950070694,polly,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,5,26,1,26,25,0.9615384615384616,2.212072273863842,1.42097674127014,1.0429370856071987,3.2199677938808366,25,2.2474941968014797,124.74941968014797,polly,130,111,19,9,0,8,2,0
DOUBLE,c,ChooseHints,1,26,5,130,113,0.8692307692307693,1.2676433395754263,1.1216052422861724,0.5594449110113916,2.3144205585665016,113,1.156364332292513,15.6364332292513,c|polly,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,2,26,10,260,252,0.9692307692307692,1.5579318473480817,1.2600597100139164,0.7316895303878805,2.874476038921648,252,1.6375168853345843,63.75168853345843,c|polly,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,3,26,10,260,258,0.9923076923076923,1.7631546412692536,1.4169792448112029,0.9483491881922496,2.891845801656186,258,1.858164595369383,85.81645953693831,c|polly,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,4,26,5,130,130,1.0,1.9071829193031131,1.7654331062058835,0.96769103284959,2.9303503229486356,130,2.010160163449527,101.01601634495272,c|polly,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,5,26,1,26,26,1.0,2.028633957873222,1.8184410526948416,0.9837125299381383,2.9303503229486356,26,2.137669755404091,113.7669755404091,c|polly,130,113,17,10,1,5,1,0
DOUBLE,c,FromPlan,1,26,5,130,118,0.9076923076923077,0.5427020785323811,0.8642434951026381,0.20650620156583038,1.8186407858178946,118,0.59978986901528,-40.021013098472004,polly,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,2,26,10,260,250,0.9615384615384616,0.7031511553774509,0.9109960700680213,0.32382128022258033,1.9144703287278728,250,0.7734712188191674,-22.652878118083265,polly,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,3,26,10,260,250,0.9615384615384616,0.8462064410885283,1.0665487266850129,0.43076835409763076,2.0016693551848164,250,0.9102571518819019,-8.974284811809808,polly,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,4,26,5,130,125,0.9615384615384616,0.9697128279996349,1.10351943224695,0.4988001252043265,2.0019603578695855,125,1.0287512996672807,2.875129966728074,polly,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,5,26,1,26,25,0.9615384615384616,1.0780889253653616,1.1204543085642225,0.5035047144887563,2.0019603578695855,25,1.1338781279039656,13.38781279039656,polly,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,1,26,5,130,118,0.9076923076923077,0.42661555908955867,0.6449078960652342,0.14169655442948859,1.1660386608335658,118,0.47175687247913045,-52.82431275208695,c|polly,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,2,26,10,260,253,0.9730769230769231,0.5325184890360484,0.8766125350732024,0.19729010517273887,1.384605986560782,253,0.5451605233649688,-45.48394766350312,c|polly,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,3,26,10,260,256,0.9846153846153847,0.5971282411857848,0.9801114901155195,0.19806865546785832,1.3888480392156861,256,0.6027822773511231,-39.72177226488769,c|polly,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,4,26,5,130,129,0.9923076923076923,0.6480440916299312,0.9857908487010095,0.4027473730297723,1.748263985234408,129,0.650210159640157,-34.9789840359843,c|polly,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,5,26,1,26,26,1.0,0.6867474054160772,0.9963138196426371,0.40398825616143863,1.6662117483010803,26,0.6867474054160772,-31.325259458392285,c|polly,130,118,12,7,0,5,0,0
DOUBLE,exo,AllHints,1,26,5,130,89,0.6846153846153846,0.9311377888973936,0.8964011126477684,0.39229380836537703,1.5377076604415107,89,0.7763052283623416,-22.36947716376584,polly,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,2,26,10,260,222,0.8538461538461538,1.156610409809104,0.9832969730024543,0.5168789730715644,1.7572098685222624,222,1.1420194400928774,14.201944009287736,polly,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,3,26,10,260,240,0.9230769230769231,1.2895088837478692,1.0003824638753542,0.5358059882497497,1.780866349168711,240,1.3681125414616941,36.81125414616942,polly,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,4,26,5,130,124,0.9538461538461539,1.3876646294336532,1.0055631265992515,0.5399004946929108,1.780866349168711,124,1.5181590084090115,51.81590084090115,polly,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,5,26,1,26,25,0.9615384615384616,1.473294572744009,1.0123207216217143,0.6198050421735194,1.780866349168711,25,1.6016483049554682,60.164830495546816,polly,130,89,41,34,0,7,0,0
DOUBLE,exo,ChooseHints,1,26,5,130,87,0.6692307692307692,0.9045643410596842,0.7087400411544348,0.3679245374919908,1.4833956429555066,87,0.7877284193821946,-21.22715806178054,polly,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,2,26,10,260,222,0.8538461538461538,1.084509023388366,0.9019353778473007,0.48810197325807514,1.7303464384300018,222,1.1381629961881543,13.816299618815432,polly,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,3,26,10,260,236,0.9076923076923077,1.2142839470900926,0.9718731785203053,0.48955003661148333,1.8549801913051829,236,1.2960279164117146,29.602791641171457,polly,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,4,26,5,130,122,0.9384615384615385,1.2703531176524252,1.0080650625581522,0.5398618002186352,1.8549801913051829,122,1.3856751125380962,38.56751125380961,polly,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,5,26,1,26,25,0.9615384615384616,1.3063147497987715,1.0136838859833142,0.5468585140028747,1.8549801913051829,25,1.4360136048553358,43.60136048553358,polly,130,87,43,38,0,5,0,0
DOUBLE,exo,FromPlan,1,26,5,130,56,0.4307692307692308,0.3311869129847176,0.37328175812673736,0.12071210177308664,1.023217475094302,56,0.3659047940607965,-63.409520593920355,polly,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,2,26,10,260,176,0.676923076923077,0.3779999044726716,0.43564816528286676,0.1271114740806458,1.0880841231013585,176,0.45331137585590453,-54.668862414409546,polly,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,3,26,10,260,211,0.8115384615384615,0.4269269458689875,0.4593402554442709,0.13509750197608159,1.1502292642394583,211,0.5289410898284793,-47.10589101715207,polly,130,56,74,73,0,1,0,0
