data_type,framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
DOUBLE,exo,ChooseHints,4,26,5,130,122,0.9384615384615385,0.29326056013857627,0.47311827956989244,0.13483146067415727,1.0,122,1.0786703865275147,7.867038652751468,c,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,5,26,1,26,25,0.9615384615384616,0.3265724798802377,0.769230769230769,0.14960629921259844,1.0340909090909092,25,1.099286627389721,9.928662738972104,c,130,87,43,38,0,5,0,0
DOUBLE,exo,FromPlan,1,26,5,130,56,0.4307692307692308,0.3364697119297433,0.6568627450980391,0.22981524956619376,1.1512771195568547,56,1.0624467678941938,6.244676789419379,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,2,26,10,260,176,0.676923076923077,0.34457506418487804,0.6666666666666665,0.23711340206185572,1.1752577319587627,176,1.1056656103089815,10.566561030898146,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,3,26,10,260,211,0.8115384615384615,0.36497142462550103,0.6874999999999998,0.24210526315789474,1.1752577319587627,211,1.1334171982877097,13.34171982877097,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,4,26,5,130,115,0.8846153846153846,0.4003778614206983,0.7338709677419355,0.3610438525692763,1.1752577319587627,115,1.1509199032556328,15.091990325563277,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,5,26,1,26,24,0.9230769230769231,0.4510078536297085,0.8524558458619179,0.41140215716486905,1.1869988545246275,24,1.164205483019702,16.420548301970193,c,130,56,74,73,0,1,0,0
DOUBLE,exo,Naive,1,26,5,130,81,0.6230769230769231,0.2728906520128794,0.5652173913043479,0.12903225806451615,0.9354838709677419,81,1.0338222183486867,3.3822218348686706,c,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,2,26,10,260,209,0.8038461538461539,0.3373994513010655,0.7291666666666666,0.13725490196078435,1.0,209,1.0675705899539394,6.757058995393939,c,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,3,26,10,260,228,0.8769230769230769,0.4100020831776153,0.8397435897435896,0.23291751852798365,1.0,228,1.101164542334724,10.116454233472405,c,130,81,49,44,0,5,0,0
