data_type,framework,prompt,attempt_count,validation_count,validation_rate,validation_rate_pct,performance_attempt_count,median_speedup,geometric_mean_speedup,speedup_q1,speedup_q3,speedup_iqr,speedup_at_5,contributing_benchmark_count,benchmark_count,baseline_framework
DOUBLE,c,AllHints,130,111,0.8538461538461538,85.38461538461539,111,2.689236111111111,2.8749039584587455,1.0320877855786401,10.451460189626552,9.419372404047913,4.6301856290578085,25,26,c
DOUBLE,c,ChooseHints,130,113,0.8692307692307693,86.92307692307692,113,2.5000774113639883,2.780815141667091,1.0682758620689656,4.208718440695416,3.140442578626451,3.613236544094185,26,26,c
DOUBLE,c,FromPlan,130,118,0.9076923076923077,90.76923076923077,118,1.8968512299308942,1.7168474926947501,1.0759310188345443,3.360131893402892,2.2842008745683477,2.4096182069191516,25,26,c
DOUBLE,c,Naive,130,118,0.9076923076923077,90.76923076923077,118,1.3938813158614185,1.660413944403703,1.016628725642358,3.3409071538265422,2.324278428184184,2.1655983886735375,26,26,c
DOUBLE,exo,AllHints,130,89,0.6846153846153846,68.46153846153847,89,1.8891891891891894,1.5022801843929885,0.9806763285024155,3.7068062827225132,2.726129954220098,2.224649185359137,25,26,c
DOUBLE,exo,ChooseHints,130,87,0.6692307692307692,66.92307692307692,87,2.0660098522167485,1.998825322774225,1.0162719298245615,4.715808597755498,3.699536667930937,2.482946809920083,25,26,c
DOUBLE,exo,FromPlan,130,56,0.4307692307692308,43.07692307692308,56,1.0946008347401284,1.0555255095042186,0.7956882363058065,3.161012108401349,2.3653238720955425,1.2770067152099864,24,26,c
DOUBLE,exo,Naive,130,81,0.6230769230769231,62.30769230769231,81,1.0569570631370198,1.4596815111431802,0.9584574384699797,3.1276649746192895,2.16920753614931,2.1382521408817827,25,26,c
DOUBLE,halide,AllHints,130,27,0.2076923076923077,20.76923076923077,27,0.6532664204555495,0.5964645836159712,0.16220490904441737,2.5007320368226162,2.3385271277781987,0.6743330705673579,14,26,c
DOUBLE,halide,ChooseHints,130,32,0.24615384615384617,24.615384615384617,32,0.627396285046429,0.5094707071969428,0.18150502329052906,1.5048345749982839,1.3233295517077548,0.578801051690623,16,26,c
DOUBLE,halide,FromPlan,130,26,0.2,20.0,26,0.8008002957279974,0.48656163045312134,0.14503518824779704,1.4727685140817588,1.3277333258339619,0.5049781647557838,14,26,c
DOUBLE,halide,Naive,130,35,0.2692307692307692,26.923076923076923,35,1.2537716237087233,0.9598472331434189,0.2776178388992683,2.8644140652478587,2.58679622634859,1.1163574693110503,17,26,c
DOUBLE,noarr,AllHints,130,110,0.8461538461538461,84.61538461538461,110,1.1946651216052375,1.2242009576233412,1.0035510756473636,2.3816684990778834,1.3781174234305198,2.1557824214609296,23,26,c
DOUBLE,noarr,ChooseHints,130,108,0.8307692307692308,83.07692307692308,108,1.2295694759151214,1.1686271351696964,1.0295673832621939,2.149283444309927,1.1197160610477332,1.8767015411650163,23,26,c
DOUBLE,noarr,FromPlan,130,98,0.7538461538461538,75.38461538461539,98,1.2543152271134868,1.4162244562842465,1.0009881422924902,1.9833427810214839,0.9823546387289936,1.9177868662393924,23,26,c
DOUBLE,noarr,Naive,130,107,0.823076923076923,82.3076923076923,107,1.2058516537282278,1.3877216435436304,1.0216135308886938,2.3718535159421856,1.3502399850534919,1.9051450016095155,23,26,c
