framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
exo,FromPlan,1,30,5,150,66,0.44,0.9888757342063628,1.0422850568933297,0.7844034974799944,2.594534029355891,66,1.2018278317126785,20.18278317126785,c,150,66,84,82,0,1,1,0
exo,FromPlan,2,30,10,300,203,0.6766666666666666,1.0069691071201072,1.0668128951756737,0.7955425739390425,2.607474779585284,203,1.3475374827323838,34.753748273238386,c,150,66,84,82,0,1,1,0
exo,FromPlan,3,30,10,300,240,0.8,1.0358664811268299,1.0851610911722949,0.8017899295209574,2.607474779585284,240,1.447759799748029,44.775979974802894,c,150,66,84,82,0,1,1,0
exo,FromPlan,4,30,5,150,130,0.8666666666666667,1.0788498576300314,1.0861192758240417,0.8038723813815957,2.594534029355891,130,1.5201871375804221,52.01871375804221,c,150,66,84,82,0,1,1,0
exo,FromPlan,5,30,1,30,27,0.9,1.1408283443188327,1.1415047040402724,0.8866149961469297,2.5815932791264977,27,1.5802194094438877,58.021940944388774,c,150,66,84,82,0,1,1,0
exo,Naive,1,30,5,150,93,0.62,1.1909771984759883,1.11143954249037,0.8376942735580835,2.2194768092473094,93,1.3717803612705606,37.17803612705606,c,150,93,57,52,0,5,0,0
exo,Naive,2,30,10,300,245,0.8166666666666667,1.370270144609211,1.2698729104831394,0.9546159098445681,3.113160674390489,245,1.6480771406487726,64.80771406487726,c,150,93,57,52,0,5,0,0
exo,Naive,3,30,10,300,268,0.8933333333333333,1.5018091904338944,1.361565796507823,0.955779772486088,3.2707608609388314,268,1.8233549307719061,82.33549307719062,c,150,93,57,52,0,5,0,0
exo,Naive,4,30,5,150,140,0.9333333333333333,1.5748952553898432,1.5353985318632917,0.955779772486088,3.3900941399630398,140,1.9300147041895541,93.0014704189554,c,150,93,57,52,0,5,0,0
exo,Naive,5,30,1,30,29,0.9666666666666667,1.6126643665336577,1.604638376517424,0.955779772486088,3.3900941399630398,29,2.0126006014809112,101.26006014809113,c,150,93,57,52,0,5,0,0
halide,AllHints,1,30,5,150,18,0.12,0.20296983647455646,0.20462362703082052,0.09100365617373951,0.4621428745936924,18,1.002686696576731,0.2686696576730929,c,150,18,132,50,77,7,2,0
halide,AllHints,2,30,10,300,57,0.19,0.25405026347558574,0.4226995894502073,0.11247967639239578,0.546090478185878,57,1.0053806114919575,0.5380611491957454,c,150,18,132,50,77,7,2,0
halide,AllHints,3,30,10,300,74,0.24666666666666667,0.27210500838904084,0.4226995894502073,0.12159890928816026,0.546090478185878,74,1.0080817641391646,0.8081764139164616,c,150,18,132,50,77,7,2,0
