data_type,framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
DOUBLE,c,AllHints,1,26,5,130,111,0.8538461538461538,1.4125377364261604,1.0218222769963028,0.5683294228685929,2.382334421815833,111,1.2283377280769952,22.833772807699514,c|polly,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,2,26,10,260,247,0.95,1.6168615010870075,1.0848478109622117,0.7235847726653453,2.771040448165212,247,1.6670385569418178,66.70385569418178,c|polly,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,3,26,10,260,250,0.9615384615384616,1.7988813908075865,1.3097735229143412,0.8550697791557129,2.888760473851488,250,1.845660280517227,84.56602805172271,c|polly,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,4,26,5,130,125,0.9615384615384616,1.9073012093088342,1.3391829155060353,1.006732934574496,3.2199677938808366,125,1.9492834281649072,94.92834281649071,c|polly,130,111,19,9,0,8,2,0
DOUBLE,c,AllHints,5,26,1,26,25,0.9615384615384616,1.9817798699713773,1.356755702491972,1.0082151694105401,3.2199677938808366,25,2.0220457765803315,102.20457765803314,c|polly,130,111,19,9,0,8,2,0
DOUBLE,c,ChooseHints,1,26,5,130,113,0.8692307692307693,1.1607919026320768,1.0312463848876023,0.5408176138915136,2.297334558823529,113,1.040368254399878,4.036825439987801,c|polly,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,2,26,10,260,252,0.9692307692307692,1.4106574782529342,1.1961369314376438,0.5594449110113916,2.874476038921648,252,1.473255907304239,47.325590730423905,c|polly,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,3,26,10,260,258,0.9923076923076923,1.5900236047180982,1.3860029818093633,0.7277428920081819,2.891845801656186,258,1.6717702219676263,67.17702219676262,c|polly,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,4,26,5,130,130,1.0,1.715871468158297,1.4942559774537232,0.9545566740679481,2.9303503229486356,130,1.8085189605996452,80.85189605996452,c|polly,130,113,17,10,1,5,1,0
DOUBLE,c,ChooseHints,5,26,1,26,26,1.0,1.8251396299855804,1.6684829081510635,0.9804366277034045,2.9303503229486356,26,1.92323793618238,92.323793618238,c|polly,130,113,17,10,1,5,1,0
DOUBLE,c,FromPlan,1,26,5,130,118,0.9076923076923077,0.4885030849863508,0.5652082234746625,0.20650620156583038,1.415302387483075,118,0.5396243394995265,-46.03756605004735,c|polly,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,2,26,10,260,250,0.9615384615384616,0.6299481358446433,0.9064981516977,0.2830777967064168,1.909501499060555,250,0.6958835371168195,-30.41164628831805,c|polly,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,3,26,10,260,250,0.9615384615384616,0.7581103522716945,0.9734652944617435,0.3788392732772853,2.0016693551848164,250,0.8189483346316374,-18.105166536836258,c|polly,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,4,26,5,130,125,0.9615384615384616,0.8687588488354163,1.0303166645241462,0.49246379667027873,2.0019603578695855,125,0.9255562143849639,-7.444378561503607,c|polly,130,118,12,7,0,5,0,0
DOUBLE,c,FromPlan,5,26,1,26,25,0.9615384615384616,0.9658522262458668,1.080825801198305,0.4988001252043265,2.0019603578695855,25,1.0201376639583577,2.01376639583577,c|polly,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,1,26,5,130,118,0.9076923076923077,0.3882812322195977,0.6053164749295904,0.14169655442948859,1.0140925420953049,118,0.42443446257914,-57.556553742085995,c|polly,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,2,26,10,260,253,0.9730769230769231,0.4777018516260854,0.8766125350732024,0.19729010517273887,1.1737909798949464,253,0.4904749188661989,-50.95250811338011,c|polly,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,3,26,10,260,256,0.9846153846153847,0.536343114607772,0.9801114901155195,0.19806865546785832,1.1791302765647742,256,0.542316576323055,-45.7683423676945,c|polly,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,4,26,5,130,129,0.9923076923076923,0.5825605703681718,0.9857908487010095,0.4027473730297723,1.2670001579058363,129,0.5849869196819709,-41.50130803180291,c|polly,130,118,12,7,0,5,0,0
DOUBLE,c,Naive,5,26,1,26,26,1.0,0.6178590773116632,0.9963138196426371,0.40398825616143863,1.2450326875705708,26,0.6178590773116632,-38.214092268833674,c|polly,130,118,12,7,0,5,0,0
DOUBLE,exo,AllHints,1,26,5,130,89,0.6846153846153846,0.8132161699856144,0.8680653477971528,0.39229380836537703,1.4131803728411998,89,0.6984332642910739,-30.15667357089261,c|polly,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,2,26,10,260,222,0.8538461538461538,1.029204075697368,0.9832969730024543,0.5168789730715644,1.5181228056416398,222,1.0274623128721743,2.7462312872174266,c|polly,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,3,26,10,260,240,0.9230769230769231,1.152325999594533,0.9972212429753439,0.5358059882497497,1.735505643747645,240,1.2308757861471606,23.087578614716065,c|polly,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,4,26,5,130,124,0.9538461538461539,1.2421013198053967,0.9985968527392064,0.5399004946929108,1.735505643747645,124,1.3658709399559705,36.58709399559705,c|polly,130,89,41,34,0,7,0,0
DOUBLE,exo,AllHints,5,26,1,26,25,0.9615384615384616,1.3199141643334367,0.9999724625030688,0.6198050421735194,1.735505643747645,25,1.4409853405678523,44.09853405678523,c|polly,130,89,41,34,0,7,0,0
DOUBLE,exo,ChooseHints,1,26,5,130,87,0.6692307692307692,0.801675636154146,0.6777386117136659,0.3679245374919908,1.4109870301726821,87,0.7087105834448392,-29.128941655516083,c|polly,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,2,26,10,260,222,0.8538461538461538,0.9603401099744587,0.9019353778473007,0.48810197325807514,1.4403790721705554,222,1.0239927127631898,2.3992712763189816,c|polly,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,3,26,10,260,236,0.9076923076923077,1.0808044055245953,0.9427810809367733,0.48955003661148333,1.632060071825008,236,1.1660220428778236,16.602204287782364,c|polly,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,4,26,5,130,122,0.9384615384615385,1.135031689786779,0.9718731785203053,0.5398618002186352,1.7303464384300018,122,1.246676637923094,24.6676637923094,c|polly,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,5,26,1,26,25,0.9615384615384616,1.1703181245863987,0.9718731785203053,0.5468585140028747,1.7303464384300018,25,1.2919656250690248,29.19656250690248,c|polly,130,87,43,38,0,5,0,0
DOUBLE,exo,FromPlan,1,26,5,130,56,0.4307692307692308,0.3010006494700168,0.37328175812673736,0.08876524945243985,1.0034289437526385,56,0.32920051340469936,-67.07994865953006,c|polly,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,2,26,10,260,176,0.676923076923077,0.3422574510772219,0.43564816528286676,0.12071210177308664,1.0130113913960246,176,0.40783925241263497,-59.216074758736504,c|polly,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,3,26,10,260,211,0.8115384615384615,0.3861610284185708,0.4593402554442709,0.12410744834168691,1.016120711890637,211,0.47588247314257553,-52.41175268574245,c|polly,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,4,26,5,130,115,0.8846153846153846,0.4293478153716039,0.46708118786230124,0.13509750197608159,1.0677392215649348,115,0.5380816324968736,-46.191836750312646,c|polly,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,5,26,1,26,24,0.9230769230769231,0.47366265498434446,0.49756693971176846,0.14477895358583112,1.0885213737697965,24,0.6011237428228541,-39.88762571771459,c|polly,130,56,74,73,0,1,0,0
DOUBLE,exo,Naive,1,26,5,130,81,0.6230769230769231,0.4293746428095264,0.5730064698066906,0.1805565109152086,1.0066161503796582,81,0.4877293325621094,-51.22706674378906,c|polly,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,2,26,10,260,209,0.8038461538461539,0.6288333622183833,0.6929109069042855,0.40202130565419275,1.0524656241625734,209,0.7106412036332096,-28.93587963667904,c|polly,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,3,26,10,260,228,0.8769230769230769,0.7812861945652604,0.8108461990953342,0.4910783056144231,1.315907736894965,228,0.8682132084513352,-13.17867915486648,c|polly,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,4,26,5,130,120,0.9230769230769231,0.8803860293493956,0.8835274867451718,0.5269777123624054,1.4171564336626234,120,0.9715334834195601,-2.846651658043986,c|polly,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,5,26,1,26,25,0.9615384615384616,0.9594404760444804,0.9869078302123486,0.5825678221086864,1.4171564336626234,25,1.0648344522824909,6.483445228249085,c|polly,130,81,49,44,0,5,0,0
DOUBLE,halide,AllHints,1,26,5,130,33,0.25384615384615383,0.5870429870728684,0.44222300493429356,0.2952830059917835,1.1464299419494577,33,0.3534644655720006,-64.65355344279993,c|polly,130,33,97,47,41,7,2,0
DOUBLE,halide,AllHints,2,26,10,260,108,0.4153846153846154,0.6200376125297815,0.5840031287711548,0.33130543697758236,1.2141262788065956,108,0.45201128340201696,-54.79887165979831,c|polly,130,33,97,47,41,7,2,0
DOUBLE,halide,AllHints,3,26,10,260,132,0.5076923076923077,0.6496886642381551,0.5840031287711548,0.3650128745006577,1.4172152893780092,132,0.5197532596198313,-48.02467403801687,c|polly,130,33,97,47,41,7,2,0
DOUBLE,halide,AllHints,4,26,5,130,72,0.5538461538461539,0.6656813546214617,0.6430359929879151,0.3882049899661545,1.4172152893780092,72,0.5540434537322886,-44.59565462677114,c|polly,130,33,97,47,41,7,2,0
DOUBLE,halide,AllHints,5,26,1,26,15,0.5769230769230769,0.6519408656366745,0.6662519550124614,0.3929569892892859,1.2818226156637333,15,0.5644731980007841,-43.55268019992159,c|polly,130,33,97,47,41,7,2,0
DOUBLE,halide,ChooseHints,1,26,5,130,34,0.26153846153846155,0.5868295263332983,0.577266771680202,0.21893820000206551,1.1339448789438833,34,0.3348988221285819,-66.51011778714181,c|polly,130,34,96,44,46,5,1,0
DOUBLE,halide,ChooseHints,2,26,10,260,110,0.4230769230769231,0.6228806197718312,0.5779775653558202,0.23994298091341618,1.1339448789438833,110,0.4229444305182532,-57.705556948174674,c|polly,130,34,96,44,46,5,1,0
DOUBLE,halide,ChooseHints,3,26,10,260,137,0.5269230769230769,0.6728291357869699,0.5779775653558202,0.23994298091341618,1.0946845039263746,137,0.49858598124802667,-50.14140187519733,c|polly,130,34,96,44,46,5,1,0
DOUBLE,halide,ChooseHints,4,26,5,130,78,0.6,0.7338193474188773,0.5927168136659593,0.3223809204497195,1.0055276187356423,78,0.5596974001454518,-44.03025998545482,c|polly,130,34,96,44,46,5,1,0
DOUBLE,halide,ChooseHints,5,26,1,26,17,0.6538461538461539,0.7995224886767459,0.5927168136659593,0.3223809204497195,1.0055276187356423,17,0.6064056799882679,-39.35943200117321,c|polly,130,34,96,44,46,5,1,0
DOUBLE,halide,FromPlan,1,26,5,130,28,0.2153846153846154,0.7350065663490053,0.646740744094659,0.20681007540596688,1.135683037089131,28,0.3162658887179562,-68.37341112820438,c|polly,130,28,102,40,61,1,0,0
DOUBLE,halide,FromPlan,2,26,10,260,91,0.35,0.7255371905738316,0.5980813377232956,0.20442802377909883,1.0619525252509168,91,0.3893460069784459,-61.06539930215541,c|polly,130,28,102,40,61,1,0,0
