data_type,framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
DOUBLE,exo,ChooseHints,3,26,10,260,236,0.9076923076923077,4.325890467955118,3.70286071681079,1.2609846080484584,17.126291975167778,236,4.1715998255623825,317.1599825562383,tiramisu,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,4,26,5,130,122,0.9384615384615385,4.416634820495889,3.7626632892004532,1.4459104997805758,17.126291975167778,122,4.4601524276995175,346.0152427699517,tiramisu,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,5,26,1,26,25,0.9615384615384616,4.409459734156263,3.7626632892004532,1.4459104997805758,17.126291975167778,25,4.622179837071276,362.21798370712764,tiramisu,130,87,43,38,0,5,0,0
DOUBLE,exo,FromPlan,1,26,5,130,56,0.4307692307692308,1.4381606490487069,1.0984698621204827,0.691042917287643,2.8494481650930226,56,1.1777588705825048,17.775887058250483,tiramisu,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,2,26,10,260,176,0.676923076923077,1.4928220108669077,1.0984698621204827,0.691042917287643,2.8721770070239767,176,1.4590994781050703,45.909947810507035,tiramisu,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,3,26,10,260,211,0.8115384615384615,1.579100346708624,1.1199444012649533,0.70235051140834,2.9864241370349425,211,1.702533201731052,70.2533201731052,tiramisu,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,4,26,5,130,115,0.8846153846153846,1.7050168486650361,1.1199444012649533,0.7075254984838739,3.1006712670459082,115,1.9250590140837296,92.50590140837296,tiramisu,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,5,26,1,26,24,0.9230769230769231,1.8786937199115985,1.4719111328494265,0.8134320822931774,3.12819799128865,24,2.1506005962907655,115.06005962907655,tiramisu,130,56,74,73,0,1,0,0
DOUBLE,exo,Naive,1,26,5,130,81,0.6230769230769231,2.31387158079486,1.7027943101094185,0.8208506650628661,4.331970668236117,81,1.7449169259409447,74.49169259409447,tiramisu,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,2,26,10,260,209,0.8038461538461539,2.9219989952870513,2.484013436178153,1.0222560310587794,11.296719370698098,209,2.5424139614008667,154.24139614008666,tiramisu,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,3,26,10,260,228,0.8769230769230769,3.3086558413305647,2.8716780342782444,1.022797042430359,16.951999846623792,228,3.1061488854769825,210.61488854769826,tiramisu,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,4,26,5,130,120,0.9230769230769231,3.479614527223705,3.219156271161778,1.022797042430359,16.951999846623792,120,3.4757909893009717,247.5790989300972,tiramisu,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,5,26,1,26,25,0.9615384615384616,3.6149266234195863,3.219156271161778,1.022797042430359,16.951999846623792,25,3.809587685350384,280.9587685350384,tiramisu,130,81,49,44,0,5,0,0
DOUBLE,halide,AllHints,1,26,5,130,33,0.25384615384615383,2.9868724358850476,1.516255613031788,0.4765627339982629,21.432221466354715,33,1.2645664050084842,26.456640500848415,tiramisu,130,33,97,47,41,7,2,0
DOUBLE,halide,AllHints,2,26,10,260,108,0.4153846153846154,3.02564714401871,1.516255613031788,0.4765627339982629,21.432221466354715,108,1.6171308274226657,61.713082742266565,tiramisu,130,33,97,47,41,7,2,0
DOUBLE,halide,AllHints,3,26,10,260,132,0.5076923076923077,3.044303656565501,1.3033544016384697,0.4765627339982629,21.432221466354715,132,1.859486808512035,85.9486808512035,tiramisu,130,33,97,47,41,7,2,0
DOUBLE,halide,AllHints,4,26,5,130,72,0.5538461538461539,3.0222997727892387,1.0904531902451513,0.4765627339982629,21.432221466354715,72,1.982164564607436,98.2164564607436,tiramisu,130,33,97,47,41,7,2,0
DOUBLE,halide,AllHints,5,26,1,26,15,0.5769230769230769,2.9331952625495985,1.0904531902451513,0.5149788039718073,19.018621626750363,15,2.0194783698110954,101.94783698110955,tiramisu,130,33,97,47,41,7,2,0
DOUBLE,halide,ChooseHints,1,26,5,130,34,0.26153846153846155,2.3088486851690684,1.0769075836641024,0.6317658031244148,13.793390093882916,34,1.1981453322482554,19.81453322482554,tiramisu,130,34,96,44,46,5,1,0
DOUBLE,halide,ChooseHints,2,26,10,260,110,0.4230769230769231,2.582917112597055,1.1321241541878304,0.6511100542366611,13.86610387580479,110,1.513140273247301,51.31402732473009,tiramisu,130,34,96,44,46,5,1,0
DOUBLE,halide,ChooseHints,3,26,10,260,137,0.5269230769230769,2.843802617991385,1.1321241541878304,0.6511100542366611,13.86610387580479,137,1.7837580388006868,78.37580388006869,tiramisu,130,34,96,44,46,5,1,0
DOUBLE,halide,ChooseHints,4,26,5,130,78,0.6,3.0864641616041393,1.1934331056014373,0.7002596165766005,13.86610387580479,78,2.002392314172684,100.23923141726839,tiramisu,130,34,96,44,46,5,1,0
