framework,prompt,attempt_count,validation_count,validation_rate,validation_rate_pct,performance_attempt_count,median_speedup,geometric_mean_speedup,speedup_q1,speedup_q3,speedup_iqr,speedup_at_5,contributing_benchmark_count,benchmark_count,baseline_framework
c,AllHints,130,111,0.8538461538461538,85.38461538461539,111,2.7742504409171076,2.622537274913688,1.0304544915673675,10.699823057302119,9.669368565734752,4.690273212924492,25,26,c
c,ChooseHints,130,113,0.8692307692307693,86.92307692307692,113,2.473270440251572,2.7779521866197054,1.0750386434961825,4.198133022170362,3.123094378674179,3.618652595863067,26,26,c
c,FromPlan,130,118,0.9076923076923077,90.76923076923077,118,1.8970570364634647,1.712210817892287,1.0746300639278106,3.3271506823957053,2.2525206184678948,2.3982600031718655,25,26,c
c,Naive,130,118,0.9076923076923077,90.76923076923077,118,1.4020942034099715,1.6639519338631703,1.0154116824693087,3.322125673585735,2.3067139911164265,2.172980776888454,26,26,c
exo,AllHints,130,89,0.6846153846153846,68.46153846153847,89,1.9000089277743062,1.518121747242662,0.9827586206896552,3.8833333333333337,2.9005747126436785,2.254149670399897,25,26,c
exo,ChooseHints,130,87,0.6692307692307692,66.92307692307692,87,2.0852329038652133,2.0100893321099296,0.9940586386532915,4.701534435984655,3.7074757973313637,2.4688955450181775,25,26,c
exo,FromPlan,130,56,0.4307692307692308,43.07692307692308,56,1.0783726319819844,1.045920957221825,0.7884775757964542,3.17228465723709,2.3838070814406356,1.248351827759409,24,26,c
exo,Naive,130,81,0.6230769230769231,62.30769230769231,81,1.0601413460206015,1.4746341332923134,0.9769164877462706,3.10706782082528,2.1301513330790094,2.1767166093356756,25,26,c
halide,AllHints,130,27,0.2076923076923077,20.76923076923077,27,0.6920369555653323,0.572933285636677,0.1602740117801138,2.1803665474056038,2.0200925356254897,0.6614508868002699,14,26,c
halide,ChooseHints,130,32,0.24615384615384617,24.615384615384617,32,0.6097983341841129,0.506697418594504,0.18311235875004012,1.5964571486271875,1.4133447898771474,0.5720887925207101,16,26,c
halide,FromPlan,130,26,0.2,20.0,26,0.8360718005365692,0.4784535875999772,0.13428355495174085,1.5196387202222263,1.3853551652704854,0.4899584713598013,14,26,c
halide,Naive,130,35,0.2692307692307692,26.923076923076923,35,1.5332943925233642,0.9699178199052265,0.2800322826795355,2.7471033505638434,2.4670710678843077,1.096241759526862,17,26,c
noarr,AllHints,130,110,0.8461538461538461,84.61538461538461,110,1.1973845857227765,1.2248598283763321,0.989413988235292,2.465464029338126,1.4760500411028339,2.1542078445545108,23,26,c
noarr,ChooseHints,130,108,0.8307692307692308,83.07692307692308,108,1.2338220092556926,1.1737286797511912,1.0311826431987867,2.222576545161238,1.1913939019624513,1.8862971800714359,23,26,c
noarr,FromPlan,130,98,0.7538461538461538,75.38461538461539,98,1.252384017423894,1.422709451248332,1.0312342355827298,1.977436637237584,0.9462024016548543,1.9193411878033377,23,26,c
noarr,Naive,130,107,0.823076923076923,82.3076923076923,107,1.196325613212157,1.381530637132066,1.028696291441189,2.371636047097631,1.3429397556564422,1.900519856356334,23,26,c
