data_type,framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
DOUBLE,exo,ChooseHints,4,26,5,130,122,0.9384615384615385,1.580463393268341,1.6900554192029404,0.9998426000672787,2.861830646366695,122,1.9340662910480724,93.40662910480724,c,130,87,43,38,0,5,0,0
DOUBLE,exo,ChooseHints,5,26,1,26,25,0.9615384615384616,1.6126136610205855,1.6957729818426632,1.0006410068333849,2.861830646366695,25,1.9880776568232603,98.80776568232604,c,130,87,43,38,0,5,0,0
DOUBLE,exo,FromPlan,1,26,5,130,56,0.4307692307692308,0.9052028942138558,1.0460198181094427,0.7110208705527896,2.52821277994349,56,1.1867509874697713,18.675098746977127,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,2,26,10,260,176,0.676923076923077,0.9087867399534608,1.0511357683986622,0.7958879918014524,2.52821277994349,176,1.3118727843292628,31.18727843292628,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,3,26,10,260,211,0.8115384615384615,0.925315014527691,1.0643935600999122,0.8231037912218528,2.0092376620494137,211,1.391319334172981,39.1319334172981,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,4,26,5,130,115,0.8846153846153846,0.9604279853433599,1.0727397211767378,0.8478887197117373,2.0092376620494137,115,1.4477888384580957,44.77888384580957,c,130,56,74,73,0,1,0,0
DOUBLE,exo,FromPlan,5,26,1,26,24,0.9230769230769231,1.0201445995629204,1.0813119239262952,0.8809043522973093,2.1493791925125114,24,1.5009877015480955,50.09877015480954,c,130,56,74,73,0,1,0,0
DOUBLE,exo,Naive,1,26,5,130,81,0.6230769230769231,1.1427075040789487,1.0699014749409694,0.8613997419583761,2.02025752449773,81,1.3391491886502733,33.91491886502733,c,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,2,26,10,260,209,0.8038461538461539,1.3144617242658776,1.2728040121462518,0.9799710694046005,3.0596211828539164,209,1.5826104220401271,58.26104220401271,c,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,3,26,10,260,228,0.8769230769230769,1.4345572055732454,1.2916386830124913,0.9941254879163559,3.15859802938692,228,1.7368431888973657,73.68431888973657,c,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,4,26,5,130,120,0.9230769230769231,1.494592723551447,1.3683764405086907,1.0109837391727514,3.222017523231729,120,1.8350494925282412,83.50494925282412,c,130,81,49,44,0,5,0,0
DOUBLE,exo,Naive,5,26,1,26,25,0.9615384615384616,1.5325644326257835,1.3683764405086907,1.0119498521675911,3.222017523231729,25,1.9158615213547998,91.58615213547998,c,130,81,49,44,0,5,0,0
DOUBLE,halide,AllHints,1,26,5,130,13,0.1,0.21090610089395756,0.20919904968448902,0.08496179640657298,0.5059622404446624,13,1.0039644513177532,0.3964451317753248,c,130,13,117,47,65,7,2,0
DOUBLE,halide,AllHints,2,26,10,260,47,0.18076923076923077,0.22986894559745552,0.21524280195516063,0.08496179640657298,0.5327843323487836,47,1.0079446195097574,0.7944619509757445,c,130,13,117,47,65,7,2,0
DOUBLE,halide,AllHints,3,26,10,260,64,0.24615384615384617,0.2513603494645015,0.21524280195516063,0.10557465833834044,0.5596064242529049,64,1.0119405668847952,1.1940566884795167,c,130,13,117,47,65,7,2,0
DOUBLE,halide,AllHints,4,26,5,130,39,0.3,0.2748040065145844,0.4101570163076989,0.13090877728524378,0.5596064242529049,39,1.0159523559986696,1.595235599866962,c,130,13,117,47,65,7,2,0
DOUBLE,halide,AllHints,5,26,1,26,9,0.34615384615384615,0.2988685075139873,0.4101570163076989,0.20919904968448902,0.5596064242529049,9,1.019980049655183,1.9980049655182963,c,130,13,117,47,65,7,2,0
DOUBLE,halide,ChooseHints,1,26,5,130,18,0.13846153846153847,0.19374735902637027,0.2215685484525499,0.13018927010425785,0.45572712068634547,18,1.0060966290873465,0.6096629087346539,c,130,18,112,44,64,5,1,0
DOUBLE,halide,ChooseHints,2,26,10,260,60,0.23076923076923078,0.20279052894606997,0.22947912167407125,0.14248781664439095,0.5263273061797829,60,1.012230427060922,1.2230427060921922,c,130,18,112,44,64,5,1,0
DOUBLE,halide,ChooseHints,3,26,10,260,78,0.3,0.20546773318768186,0.22947912167407125,0.14863708991445748,0.7350929696984158,78,1.0184016205256388,1.8401620525638762,c,130,18,112,44,64,5,1,0
DOUBLE,halide,ChooseHints,4,26,5,130,47,0.36153846153846153,0.2009628243461606,0.22947912167407125,0.13633854337432438,0.7350929696984158,47,1.0246104374679363,2.461043746793634,c,130,18,112,44,64,5,1,0
DOUBLE,halide,ChooseHints,5,26,1,26,11,0.4230769230769231,0.19154791957764294,0.22947912167407125,0.13633854337432438,0.5959158606859938,11,1.0308571072642023,3.085710726420232,c,130,18,112,44,64,5,1,0
DOUBLE,halide,FromPlan,1,26,5,130,17,0.13076923076923078,0.3617603103035664,0.2150070101545854,0.10860254177688328,1.0818455856323794,17,1.0457781590879176,4.57781590879176,c,130,17,113,40,72,1,0,0
DOUBLE,halide,FromPlan,2,26,10,260,62,0.23846153846153847,0.35645214356538707,0.2150070101545854,0.10860254177688328,1.0818455856323794,62,1.0827989690160738,8.279896901607376,c,130,17,113,40,72,1,0,0
DOUBLE,halide,FromPlan,3,26,10,260,85,0.3269230769230769,0.3454217804572453,0.2150070101545854,0.10860254177688328,1.0818455856323794,85,1.1100046509842905,11.000465098429046,c,130,17,113,40,72,1,0,0
DOUBLE,halide,FromPlan,4,26,5,130,52,0.4,0.32791875886722144,0.2150070101545854,0.10535002205849214,1.0818455856323794,52,1.126601855522155,12.66018555221551,c,130,17,113,40,72,1,0,0
DOUBLE,halide,FromPlan,5,26,1,26,12,0.46153846153846156,0.3037992428396384,0.19283459239914802,0.09771580427440979,1.0074561694432258,12,1.132100089207672,13.210008920767201,c,130,17,113,40,72,1,0,0
DOUBLE,halide,Naive,1,26,5,130,14,0.1076923076923077,0.25705942289893463,0.30638751336286496,0.11897684133094263,0.7782928079215067,14,1.0031937713987784,0.3193771398778411,c,130,14,116,36,72,7,3,0
DOUBLE,halide,Naive,2,26,10,260,52,0.2,0.2687578661970835,0.36318119260678566,0.08983616013867854,0.7919719719236062,52,1.0063977429733044,0.6397742973304421,c,130,14,116,36,72,7,3,0
DOUBLE,halide,Naive,3,26,10,260,72,0.27692307692307694,0.28308060591585293,0.36318119260678566,0.1772582037154708,0.8038087743625578,72,1.0096119473006075,0.9611947300607548,c,130,14,116,36,72,7,3,0
DOUBLE,halide,Naive,4,26,5,130,44,0.3384615384615385,0.3009947041886879,0.36318119260678566,0.2063988849077349,0.8393191816794127,44,1.0128364170617612,1.2836417061761196,c,130,14,116,36,72,7,3,0
DOUBLE,halide,Naive,5,26,1,26,10,0.38461538461538464,0.32399427789086666,0.42947535684270566,0.20807331474972351,0.8138032152383615,10,1.0160711850422142,1.6071185042214164,c,130,14,116,36,72,7,3,0
DOUBLE,noarr,AllHints,1,26,5,130,110,0.8461538461538461,1.0640631280866695,1.1893628726330903,0.99562933890061,1.8811247497480297,110,1.3907144039092127,39.071440390921275,c,130,110,20,13,0,7,0,0
DOUBLE,noarr,AllHints,2,26,10,260,228,0.8769230769230769,1.4939747859838788,1.3010155146752844,1.1199456087196982,2.56276804256426,228,1.58308028828174,58.30802882817401,c,130,110,20,13,0,7,0,0
DOUBLE,noarr,AllHints,3,26,10,260,230,0.8846153846153846,1.7088139489132743,1.4832158741837347,1.1564347718853993,2.6452726637722037,230,1.6800099405877842,68.00099405877842,c,130,110,20,13,0,7,0,0
DOUBLE,noarr,AllHints,4,26,5,130,115,0.8846153846153846,1.8171442346512028,1.611070185528534,1.187000997956679,2.6791264432309734,115,1.734833501335824,73.4833501335824,c,130,110,20,13,0,7,0,0
