framework,version,algorithm,data_type,repetition,dataset_size,speedup,optimized_time_s,baseline_time_s,baseline_framework
noarr,AllHints,3mm,DOUBLE,4,EXTRALARGE,3.1613187998800205,13.665667,43.20153,c
noarr,AllHints,3mm,DOUBLE,5,EXTRALARGE,0.9715517168161376,44.46652633333334,43.20153,c
noarr,ChooseHints,3mm,DOUBLE,1,EXTRALARGE,3.215598384794648,13.434989333333334,43.20153,c
noarr,ChooseHints,3mm,DOUBLE,2,EXTRALARGE,3.1248753620332845,13.825040999999999,43.20153,c
noarr,ChooseHints,3mm,DOUBLE,3,EXTRALARGE,1.234777794028123,34.987291,43.20153,c
noarr,ChooseHints,3mm,DOUBLE,4,EXTRALARGE,1.2825839501624527,33.68319866666667,43.20153,c
noarr,ChooseHints,3mm,DOUBLE,5,EXTRALARGE,3.1575136405970925,13.682135666666667,43.20153,c
noarr,FromPlan,3mm,DOUBLE,1,EXTRALARGE,1.4041154727070093,30.76779,43.20153,c
noarr,FromPlan,3mm,DOUBLE,2,EXTRALARGE,1.40421128418895,30.765690666666668,43.20153,c
noarr,FromPlan,3mm,DOUBLE,3,EXTRALARGE,3.107809399044804,13.900958666666668,43.20153,c
noarr,FromPlan,3mm,DOUBLE,4,EXTRALARGE,1.323340174875457,32.645823666666665,43.20153,c
noarr,FromPlan,3mm,DOUBLE,5,EXTRALARGE,1.3697301498888272,31.540176000000002,43.20153,c
noarr,Naive,3mm,DOUBLE,1,EXTRALARGE,3.153499165179595,13.699553333333332,43.20153,c
noarr,Naive,3mm,DOUBLE,2,EXTRALARGE,3.0987350412130317,13.941666333333332,43.20153,c
noarr,Naive,3mm,DOUBLE,3,EXTRALARGE,3.134617019961289,13.782075999999998,43.20153,c
noarr,Naive,3mm,DOUBLE,4,EXTRALARGE,3.1650252383508057,13.649663666666667,43.20153,c
noarr,Naive,3mm,DOUBLE,5,EXTRALARGE,3.127348353950982,13.814108666666668,43.20153,c
noarr,standard,3mm,DOUBLE,1,EXTRALARGE,0.98531693326313,43.84531366666666,43.20153,c
noarr,standard,3mm,DOUBLE,2,EXTRALARGE,0.9845465695381047,43.879620666666675,43.20153,c
noarr,standard,3mm,DOUBLE,3,EXTRALARGE,3.2076832281455916,13.468141000000001,43.20153,c
noarr,standard,3mm,DOUBLE,4,EXTRALARGE,3.1511410227657985,13.709805333333334,43.20153,c
noarr,standard,3mm,DOUBLE,5,EXTRALARGE,0.970558368290357,44.512037,43.20153,c
c,AllHints,adi,DOUBLE,1,EXTRALARGE,7.262886838072427,11.791798666666667,85.64249933333333,c
c,AllHints,adi,DOUBLE,2,EXTRALARGE,7.6120921481866235,11.250849,85.64249933333333,c
c,AllHints,adi,DOUBLE,3,EXTRALARGE,7.1006713824376,12.061183333333332,85.64249933333333,c
c,AllHints,adi,DOUBLE,4,EXTRALARGE,6.524214752334532,13.126866999999999,85.64249933333333,c
c,AllHints,adi,DOUBLE,5,EXTRALARGE,7.351548113536844,11.649586999999999,85.64249933333333,c
c,ChooseHints,adi,DOUBLE,2,EXTRALARGE,6.586471512637276,13.002789,85.64249933333333,c
c,ChooseHints,adi,DOUBLE,3,EXTRALARGE,0.9987561277616553,85.74916033333334,85.64249933333333,c
c,ChooseHints,adi,DOUBLE,4,EXTRALARGE,7.10294928561488,12.057315333333333,85.64249933333333,c
c,ChooseHints,adi,DOUBLE,5,EXTRALARGE,6.921722804568332,12.373003333333335,85.64249933333333,c
c,FromPlan,adi,DOUBLE,1,EXTRALARGE,1.0029926425149196,85.38696666666665,85.64249933333333,c
c,FromPlan,adi,DOUBLE,2,EXTRALARGE,0.8092279951480241,105.83234866666668,85.64249933333333,c
