framework,prompt,attempt_count,validation_count,validation_rate,validation_rate_pct,performance_attempt_count,median_speedup,geometric_mean_speedup,speedup_q1,speedup_q3,speedup_iqr,speedup_at_5,contributing_benchmark_count,benchmark_count,baseline_framework
c,AllHints,130,111,0.8538461538461538,85.38461538461539,111,7.385365164571268,7.19495909391618,1.5701004651149435,22.656548242382133,21.08644777726719,10.738828165193386,25,26,c
c,ChooseHints,130,113,0.8692307692307693,86.92307692307692,113,5.178217593482187,6.044585941547826,1.837161577538107,17.494817115527507,15.6576555379894,9.367289124714896,26,26,c
c,FromPlan,130,118,0.9076923076923077,90.76923076923077,118,1.9204162181069007,2.2649378606173896,1.168027180879123,3.909456242144103,2.74142906126498,4.403633644136621,25,26,c
c,Naive,130,118,0.9076923076923077,90.76923076923077,118,1.5038607971542057,1.8384983682226426,1.0070402083562455,3.3945171385451878,2.3874769301889422,2.7635415726242463,26,26,c
exo,AllHints,130,89,0.6846153846153846,68.46153846153847,89,5.3028704736788725,3.9695926407161273,1.0008435163231808,17.46248915871639,16.46164564239321,6.385772473736888,25,26,c
exo,ChooseHints,130,87,0.6692307692307692,66.92307692307692,87,5.532627149099217,4.441410531289898,1.0121577327606768,21.442591371979134,20.430433639218457,6.019411012640387,25,26,c
exo,FromPlan,130,56,0.4307692307692308,43.07692307692308,56,1.1723975247455356,1.5618699868036605,0.8210366518972827,3.7644654443074543,2.9434287924101716,2.1166771152251784,24,26,c
exo,Naive,130,81,0.6230769230769231,62.30769230769231,81,1.664654921662541,2.691413444378658,0.9947072801901059,10.89627492960849,9.901567649418384,4.41140921105622,25,26,c
halide,AllHints,130,31,0.23846153846153847,23.846153846153847,31,1.6238728484377152,2.3050719615262736,0.41021793669843765,27.4509580068069,27.040740070108463,2.424344736448266,16,26,c
halide,ChooseHints,130,37,0.2846153846153846,28.46153846153846,37,1.0007931794971507,2.033593481318167,0.5558852900916514,24.384840803709423,23.82895551361777,2.8928856880856824,17,26,c
halide,FromPlan,130,28,0.2153846153846154,21.53846153846154,28,1.153461181827211,1.7663994060495702,0.5466319549807643,5.965631770902952,5.418999815922188,2.4594160020062925,15,26,c
halide,Naive,130,42,0.3230769230769231,32.30769230769231,42,3.1904939558082583,3.435657127885306,0.7235606160651051,29.327180168393962,28.60361955232886,4.438443804829034,18,26,c
noarr,AllHints,130,110,0.8461538461538461,84.61538461538461,110,1.5162987779250725,2.0840961467240544,1.0114724508668909,3.7598882397357323,2.7484157888688414,4.125688006088865,23,26,c
noarr,ChooseHints,130,108,0.8307692307692308,83.07692307692308,108,1.2543328662116153,1.5713925283850514,0.9953403473825382,3.014512093809281,2.0191717464267427,2.327688313809161,23,26,c
noarr,FromPlan,130,98,0.7538461538461538,75.38461538461539,98,1.1775409601867977,1.3697615204656775,0.9848690233304018,1.7695836830428144,0.7847146597124126,1.9039035375438182,23,26,c
noarr,Naive,130,107,0.823076923076923,82.3076923076923,107,1.0249364318061136,1.326226479445413,0.9811943983949616,2.2793315518561865,1.298137153461225,1.878478549862175,23,26,c
