framework,version,algorithm,data_type,repetition,dataset_size,speedup,optimized_time_s,baseline_time_s,baseline_framework
c,AllHints,3mm,DOUBLE,1,LARGE,119.1183108587651,0.032876666666666665,3.9162130000000004,c
c,AllHints,3mm,DOUBLE,2,LARGE,123.39970380640284,0.031736,3.9162130000000004,c
c,AllHints,3mm,DOUBLE,4,LARGE,100.31968542933261,0.039037333333333334,3.9162130000000004,c
c,AllHints,3mm,DOUBLE,5,LARGE,90.94007322491505,0.04306366666666667,3.9162130000000004,c
c,ChooseHints,3mm,DOUBLE,1,LARGE,97.96001934413381,0.03997766666666667,3.9162130000000004,c
c,ChooseHints,3mm,DOUBLE,2,LARGE,101.9148240356006,0.03842633333333333,3.9162130000000004,c
c,ChooseHints,3mm,DOUBLE,3,LARGE,115.99011748445061,0.03376333333333333,3.9162130000000004,c
c,ChooseHints,3mm,DOUBLE,4,LARGE,114.16753962315491,0.03430233333333333,3.9162130000000004,c
c,FromPlan,3mm,DOUBLE,1,LARGE,4.824988285214072,0.8116523333333333,3.9162130000000004,c
c,FromPlan,3mm,DOUBLE,2,LARGE,86.43090244315131,0.045310333333333334,3.9162130000000004,c
c,FromPlan,3mm,DOUBLE,3,LARGE,6.249611814251724,0.626633,3.9162130000000004,c
c,FromPlan,3mm,DOUBLE,4,LARGE,6.574066416394208,0.5957063333333333,3.9162130000000004,c
c,FromPlan,3mm,DOUBLE,5,LARGE,6.723081668295653,0.5825026666666667,3.9162130000000004,c
c,Naive,3mm,DOUBLE,1,LARGE,4.230886601264588,0.9256246666666667,3.9162130000000004,c
c,Naive,3mm,DOUBLE,2,LARGE,6.316791816360611,0.6199686666666667,3.9162130000000004,c
c,Naive,3mm,DOUBLE,3,LARGE,4.226787481647322,0.9265223333333333,3.9162130000000004,c
c,Naive,3mm,DOUBLE,4,LARGE,4.234990626069009,0.9247276666666666,3.9162130000000004,c
c,Naive,3mm,DOUBLE,5,LARGE,4.226907617518047,0.9264959999999999,3.9162130000000004,c
c,standard,3mm,DOUBLE,1,LARGE,1.0,3.9162130000000004,3.9162130000000004,c
exo,AllHints,3mm,DOUBLE,3,LARGE,87.56858346066412,0.044721666666666667,3.9162130000000004,c
exo,AllHints,3mm,DOUBLE,4,LARGE,36.94157210100839,0.10601100000000001,3.9162130000000004,c
exo,ChooseHints,3mm,DOUBLE,1,LARGE,106.09305664670985,0.036912999999999994,3.9162130000000004,c
exo,ChooseHints,3mm,DOUBLE,2,LARGE,112.71191335047395,0.03474533333333333,3.9162130000000004,c
exo,ChooseHints,3mm,DOUBLE,3,LARGE,111.87794844447832,0.03500433333333333,3.9162130000000004,c
exo,ChooseHints,3mm,DOUBLE,4,LARGE,110.24546768260642,0.03552266666666667,3.9162130000000004,c
exo,FromPlan,3mm,DOUBLE,3,LARGE,4.238565820647129,0.9239476666666667,3.9162130000000004,c
exo,FromPlan,3mm,DOUBLE,4,LARGE,101.0218490429758,0.038766,3.9162130000000004,c
exo,FromPlan,3mm,DOUBLE,5,LARGE,4.236725522502865,0.924349,3.9162130000000004,c
exo,Naive,3mm,DOUBLE,1,LARGE,38.115478948085574,0.102746,3.9162130000000004,c
exo,Naive,3mm,DOUBLE,2,LARGE,1.392491196954607,2.812379,3.9162130000000004,c
exo,Naive,3mm,DOUBLE,3,LARGE,115.43397394328832,0.033926000000000005,3.9162130000000004,c
exo,Naive,3mm,DOUBLE,4,LARGE,4.239257109516485,0.923797,3.9162130000000004,c
exo,Naive,3mm,DOUBLE,5,LARGE,38.98164498372535,0.10046300000000001,3.9162130000000004,c
exo,standard,3mm,DOUBLE,1,LARGE,0.9735146009304397,4.022757333333334,3.9162130000000004,c
exo,standard,3mm,DOUBLE,2,LARGE,0.9711022692453646,4.032750333333333,3.9162130000000004,c
exo,standard,3mm,DOUBLE,3,LARGE,0.9717814900914366,4.029931666666667,3.9162130000000004,c
exo,standard,3mm,DOUBLE,4,LARGE,0.9683522315769015,4.044203,3.9162130000000004,c
exo,standard,3mm,DOUBLE,5,LARGE,0.9673070789227941,4.048572666666667,3.9162130000000004,c
halide,standard,3mm,DOUBLE,3,LARGE,2.125197304467339,1.8427526666666667,3.9162130000000004,c
halide,standard,3mm,DOUBLE,4,LARGE,2.234492348211895,1.7526186666666668,3.9162130000000004,c
noarr,AllHints,3mm,DOUBLE,1,LARGE,1.0333735648076807,3.789736,3.9162130000000004,c
noarr,AllHints,3mm,DOUBLE,2,LARGE,3.659810346906106,1.0700589999999999,3.9162130000000004,c
noarr,AllHints,3mm,DOUBLE,3,LARGE,107.08520412348584,0.036571,3.9162130000000004,c
noarr,AllHints,3mm,DOUBLE,4,LARGE,3.6280726773244516,1.0794196666666667,3.9162130000000004,c
noarr,AllHints,3mm,DOUBLE,5,LARGE,1.0038941077492003,3.9010219999999998,3.9162130000000004,c
noarr,ChooseHints,3mm,DOUBLE,1,LARGE,3.5482693010458792,1.1036966666666668,3.9162130000000004,c
noarr,ChooseHints,3mm,DOUBLE,2,LARGE,3.6735034054976365,1.0660703333333332,3.9162130000000004,c
noarr,ChooseHints,3mm,DOUBLE,3,LARGE,1.2672419065366085,3.090343666666667,3.9162130000000004,c
noarr,ChooseHints,3mm,DOUBLE,4,LARGE,1.0246567961453792,3.821975333333333,3.9162130000000004,c
noarr,ChooseHints,3mm,DOUBLE,5,LARGE,3.631328051688902,1.0784520000000002,3.9162130000000004,c
noarr,FromPlan,3mm,DOUBLE,1,LARGE,1.03402822211915,3.7873366666666666,3.9162130000000004,c
noarr,FromPlan,3mm,DOUBLE,2,LARGE,1.0362105368624552,3.779360333333333,3.9162130000000004,c
noarr,FromPlan,3mm,DOUBLE,3,LARGE,3.696227114950878,1.0595163333333335,3.9162130000000004,c
noarr,FromPlan,3mm,DOUBLE,4,LARGE,1.0334298302102398,3.7895296666666667,3.9162130000000004,c
noarr,FromPlan,3mm,DOUBLE,5,LARGE,0.9755468905885024,4.014377,3.9162130000000004,c
noarr,Naive,3mm,DOUBLE,1,LARGE,3.6724825732237196,1.0663666666666667,3.9162130000000004,c
noarr,Naive,3mm,DOUBLE,2,LARGE,3.6741272077026133,1.0658893333333335,3.9162130000000004,c
noarr,Naive,3mm,DOUBLE,3,LARGE,3.590703737209502,1.0906533333333333,3.9162130000000004,c
noarr,Naive,3mm,DOUBLE,4,LARGE,3.635176307910039,1.0773103333333334,3.9162130000000004,c
noarr,Naive,3mm,DOUBLE,5,LARGE,3.65611570970626,1.0711403333333334,3.9162130000000004,c
noarr,standard,3mm,DOUBLE,1,LARGE,0.9361907698108766,4.183135666666666,3.9162130000000004,c
noarr,standard,3mm,DOUBLE,2,LARGE,0.9631512220115797,4.066041666666667,3.9162130000000004,c
noarr,standard,3mm,DOUBLE,3,LARGE,3.61853427764919,1.082265,3.9162130000000004,c
noarr,standard,3mm,DOUBLE,4,LARGE,3.6083243089181702,1.0853273333333333,3.9162130000000004,c
noarr,standard,3mm,DOUBLE,5,LARGE,0.9385226788524189,4.172742,3.9162130000000004,c
c,AllHints,adi,DOUBLE,1,LARGE,16.900783163690384,0.6141329999999999,10.379328666666666,c
c,AllHints,adi,DOUBLE,2,LARGE,17.187553507586138,0.6038863333333334,10.379328666666666,c
c,AllHints,adi,DOUBLE,3,LARGE,18.079398893682892,0.574097,10.379328666666666,c
c,AllHints,adi,DOUBLE,4,LARGE,18.1872154413255,0.5706936666666667,10.379328666666666,c
c,AllHints,adi,DOUBLE,5,LARGE,16.81682677170032,0.6171989999999999,10.379328666666666,c
c,ChooseHints,adi,DOUBLE,2,LARGE,17.64394771749952,0.5882656666666667,10.379328666666666,c
c,ChooseHints,adi,DOUBLE,3,LARGE,0.997265190029419,10.407791999999999,10.379328666666666,c
c,ChooseHints,adi,DOUBLE,4,LARGE,16.835875819544935,0.6165006666666667,10.379328666666666,c
c,ChooseHints,adi,DOUBLE,5,LARGE,17.698171525358223,0.5864633333333332,10.379328666666666,c
c,FromPlan,adi,DOUBLE,1,LARGE,1.2520783271087264,8.289679999999999,10.379328666666666,c
c,FromPlan,adi,DOUBLE,2,LARGE,1.4289989627843767,7.263356333333333,10.379328666666666,c
c,FromPlan,adi,DOUBLE,3,LARGE,1.5642510452751364,6.635334333333333,10.379328666666666,c
c,FromPlan,adi,DOUBLE,4,LARGE,11.679007557714305,0.8887166666666667,10.379328666666666,c
c,FromPlan,adi,DOUBLE,5,LARGE,1.1469287137331239,9.049672,10.379328666666666,c
c,Naive,adi,DOUBLE,1,LARGE,1.0106650888798518,10.269800333333334,10.379328666666666,c
c,Naive,adi,DOUBLE,2,LARGE,0.8806781535945475,11.785609333333333,10.379328666666666,c
c,Naive,adi,DOUBLE,3,LARGE,1.2419459145034442,8.357311333333334,10.379328666666666,c
c,Naive,adi,DOUBLE,4,LARGE,16.01952615354222,0.6479173333333333,10.379328666666666,c
c,Naive,adi,DOUBLE,5,LARGE,15.297786197399404,0.6784856666666667,10.379328666666666,c
c,standard,adi,DOUBLE,1,LARGE,1.0,10.379328666666666,10.379328666666666,c
exo,AllHints,adi,DOUBLE,1,LARGE,17.310373275591292,0.5996016666666667,10.379328666666666,c
exo,AllHints,adi,DOUBLE,2,LARGE,17.450907601163244,0.594773,10.379328666666666,c
exo,AllHints,adi,DOUBLE,3,LARGE,17.19215602697477,0.6037246666666666,10.379328666666666,c
exo,AllHints,adi,DOUBLE,5,LARGE,16.902572136419202,0.614068,10.379328666666666,c
exo,ChooseHints,adi,DOUBLE,1,LARGE,16.71883057263282,0.6208166666666667,10.379328666666666,c
